"Point Number","Latitude (deg)","Longitude (deg)","Altitude (km)","Area (km^2)","Latitude Span (deg)","Longitude Span (deg)"
368,-29.109850,132.692308,0.000000,50667.439490,2.031233,2.307692
369,-29.109850,135.000000,0.000000,50667.439490,2.031233,2.307692
370,-29.109850,137.307692,0.000000,50667.439490,2.031233,2.307692
371,-27.078617,132.692308,0.000000,51645.729820,2.031233,2.307692
372,-27.078617,135.000000,0.000000,51645.729820,2.031233,2.307692
373,-27.078617,137.307692,0.000000,51645.729820,2.031233,2.307692
374,-31.141083,139.615385,0.000000,49625.426373,2.031233,2.307692
375,-31.141083,141.923077,0.000000,49625.426373,2.031233,2.307692
376,-31.141083,144.230769,0.000000,49625.426373,2.031233,2.307692
377,-29.109850,139.615385,0.000000,50667.439490,2.031233,2.307692
378,-29.109850,141.923077,0.000000,50667.439490,2.031233,2.307692
379,-29.109850,144.230769,0.000000,50667.439490,2.031233,2.307692
380,-27.078617,139.615385,0.000000,51645.729820,2.031233,2.307692
381,-27.078617,141.923077,0.000000,51645.729820,2.031233,2.307692
382,-27.078617,144.230769,0.000000,51645.729820,2.031233,2.307692
383,-31.141083,146.538462,0.000000,49625.426373,2.031233,2.307692
384,-31.141083,148.846154,0.000000,49625.426373,2.031233,2.307692
385,-31.141083,151.153846,0.000000,49625.426373,2.031233,2.307692
386,-29.109850,146.538462,0.000000,50667.439490,2.031233,2.307692
387,-29.109850,148.846154,0.000000,50667.439490,2.031233,2.307692
388,-29.109850,151.153846,0.000000,50667.439490,2.031233,2.307692
389,-27.078617,146.538462,0.000000,51645.729820,2.031233,2.307692
390,-27.078617,148.846154,0.000000,51645.729820,2.031233,2.307692
391,-27.078617,151.153846,0.000000,51645.729820,2.031233,2.307692
392,-31.141083,289.615385,0.000000,49625.426373,2.031233,2.307692
393,-29.109850,289.615385,0.000000,50667.439490,2.031233,2.307692
394,-27.078617,289.615385,0.000000,51645.729820,2.031233,2.307692
395,-31.141083,291.923077,0.000000,49625.426373,2.031233,2.307692
396,-31.141083,294.230769,0.000000,49625.426373,2.031233,2.307692
397,-31.141083,296.538462,0.000000,49625.426373,2.031233,2.307692
398,-29.109850,291.923077,0.000000,50667.439490,2.031233,2.307692
399,-29.109850,294.230769,0.000000,50667.439490,2.031233,2.307692
